	19.85	78.77	76.31	18.32	83.82	81.6	38.62	76.77	41.43	12.2
	39.86	40.5	13.13	70.15	61.75	31.04	30.32	11.57	73.96	96.67
	63.24	4.71	46.82	77.39	77.44	100.15	85.16	30.99	71.94	34.78
	90.63	15.62	15.59	65.05	42.11	95.83	95.81	30.55	8.41	79.68
	98.1	2.96	39.27	66.86	15.91	63.95	81.09	20.18	27.99	88.04
	41.62	70.07	4.91	55.34	83.9	97.79	52.88	10.67	52.38	40.43
	28.66	57.01	78.09	11.05	89.19	75.85	57.15	9.47	14.3	44.01
	8.63	89.25	35.53	16.34	32.05	10.12	19.39	26.93	24.26	16.6
	16.21	84.84	25.73	28.38	64.63	13.63	27.28	74.77	28.27	25.84
	47.47	52.93	25.3	79.14	15.92	18.45	5.48	36.94	23.47	96.57

